scorer,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000,DLC_resnet50_eating shrewJul7shuffle1_18000
bodyparts,Nosetip,Nosetip,Nosetip,rightwhiskers,rightwhiskers,rightwhiskers,leftwhiskers,leftwhiskers,leftwhiskers,rightear,rightear,rightear,leftear,leftear,leftear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
17,1066.44970703125,767.7363891601562,0.8331654667854309,982.8474731445312,709.2891235351562,0.9286556243896484,1066.11962890625,694.146484375,0.9031802415847778,838.7203369140625,552.594482421875,0.9252544641494751,1070.5062255859375,500.3460998535156,0.9636489748954773
18,1066.837646484375,766.1146240234375,0.7588131427764893,984.799072265625,710.4619140625,0.9139423370361328,1065.731689453125,691.9550170898438,0.918642520904541,840.634033203125,553.1729125976562,0.9405889511108398,1070.95166015625,502.0537109375,0.9703513383865356
19,1071.4822998046875,755.0350952148438,0.8815044164657593,984.380126953125,711.1804809570312,0.9421800374984741,1068.141845703125,688.2644653320312,0.8525723814964294,842.5557861328125,553.9782104492188,0.921159029006958,1071.3331298828125,500.886962890625,0.973511278629303
20,1073.9105224609375,751.43115234375,0.8122840523719788,991.9019775390625,709.231201171875,0.9304192066192627,1069.8643798828125,688.1740112304688,0.9071657657623291,843.6105346679688,553.1149291992188,0.9172288179397583,1072.5357666015625,500.44879150390625,0.9825966358184814
21,1074.4287109375,750.1822509765625,0.7806227207183838,994.0137329101562,711.1803588867188,0.9618921279907227,1073.212890625,683.7932739257812,0.9293912053108215,843.6613159179688,551.4422607421875,0.9257146120071411,1071.24267578125,500.3240051269531,0.9739193916320801
22,1080.4176025390625,733.7612915039062,0.8919558525085449,991.712646484375,710.005615234375,0.949054479598999,1072.072998046875,680.294921875,0.9305441379547119,845.915283203125,551.7764282226562,0.9296432733535767,1069.3013916015625,498.7574768066406,0.9637109041213989
23,1075.2874755859375,731.41650390625,0.862280011177063,988.733154296875,707.1328125,0.8929363489151001,1072.0433349609375,675.3175048828125,0.8931530714035034,846.5277099609375,553.2798461914062,0.8835738897323608,1070.8468017578125,498.8618469238281,0.9799028635025024
24,1075.87109375,725.9313354492188,0.8216949701309204,991.4105224609375,699.3905029296875,0.8164625763893127,1072.2540283203125,671.3428955078125,0.9095426201820374,844.7330322265625,550.3123779296875,0.8743569850921631,1070.306396484375,495.6360168457031,0.9619883894920349
25,1076.6539306640625,728.0709228515625,0.9145923256874084,991.7365112304688,703.0031127929688,0.8969235420227051,1074.663818359375,672.4413452148438,0.9307528734207153,846.2460327148438,552.4880981445312,0.9206697344779968,1069.6458740234375,495.5333251953125,0.952419638633728
26,1076.2259521484375,725.778564453125,0.9026761054992676,993.4797973632812,704.5612182617188,0.8564529418945312,1072.3875732421875,671.5809936523438,0.8942444920539856,846.9578857421875,549.9266357421875,0.9339587688446045,1069.6282958984375,495.7161560058594,0.9434335231781006
27,1065.989990234375,709.2759399414062,0.18079036474227905,977.8849487304688,701.4052734375,0.8992737531661987,1060.6927490234375,683.3898315429688,0.930831253528595,842.6278076171875,546.3838500976562,0.8171647191047668,1068.9874267578125,495.7544250488281,0.9461268186569214
28,1031.277099609375,785.1922607421875,0.42469364404678345,960.6857299804688,707.4744262695312,0.9065923690795898,1048.1376953125,688.8248901367188,0.8628172278404236,842.1429443359375,538.7785034179688,0.829668402671814,1072.449462890625,502.5105285644531,0.9768879413604736
29,1017.37646484375,720.62451171875,0.1206238865852356,929.9525756835938,713.4273681640625,0.6959545612335205,1014.7245483398438,710.25732421875,0.7746919393539429,837.1014404296875,528.1471557617188,0.9337238073348999,1070.84423828125,518.6360473632812,0.976798415184021
30,936.3116455078125,809.1752319335938,0.9453080892562866,913.506103515625,744.2921142578125,0.6893097758293152,993.0464477539062,739.4317626953125,0.39120346307754517,824.3173217773438,521.6324462890625,0.8845053315162659,1067.317138671875,533.85986328125,0.8922299146652222
31,939.2190551757812,809.260986328125,0.9347670078277588,915.794921875,752.1295166015625,0.7663834691047668,992.1083984375,742.6499633789062,0.4244424104690552,828.0350952148438,520.81103515625,0.9104630947113037,1069.52392578125,534.183837890625,0.9095935225486755
